80 Steps to Jonah (1969),"Rooney, Mickey (I)","Conley, Joe","Dale, Fred (I)","Newton, Wayne","Kahane, Jackie","Bacon, James","Schuller, Frank","Cruz, Brandon","Mineo, Sal","Bendixen, Holger","Patrick, Butch","Cross, Dennis","Quinn, Teddy","Hamilton, Don (II)","Pickens, Slim (I)","Denton, Coby","Angustain, Ira","Armstrong, R.G.","Wynn, Keenan","Mathews, Susan","Van Fleet, Jo","Tobin, Michele","Martens, Lilly","Ewing, Diana","Moran, Erin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adventures of Ichabod and Mr. Toad, The (1949)","Crosby, Bing","Allister, Claud","Wallace, Ollie","O'Malley, J. Pat","Rhythmaires, The","Stevens, Edmond (II)","Grant, Campbell","McLeish, John","Campbell, Colin (I)","Denison, Leslie","Rathbone, Basil","Blore, Eric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adventures of Jody Shanan, The (1978)","Keeper, Joey","Passent, Gene","Gorman, Dick","Scholl, Creg","Hill, Tex","Huffman, Bart","Parks, Burdette","Potts, Robert","Killian, Jack","McPherson, Ron (II)","Huffman, Bert","Liberto, Ray","Breen, Bud","Holland, Leo","Straus, Richard","Rivis, Jimmy","Sweetman, Marion","Christiansen, Harvey","Holly, Henry","Matheny, Hal","Meek, Denise","Peiton, Sadi","Tucker, Fran",Dottsy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adventures of Mark Twain, The (1985)","Tolces, Todd","Conner, Tim",Tomasek,"Newman, Wally","Krug, Gary","Innton, Wilf","Gustafson, Mark","Kahn, Tom","Victor, Billy","Downs, Compton","Scream, Billy","Smith, Herb","Gasek, Tom","Brown, Harvey","Ritchie, Chris (I)","Vincent, Wilbur","Wholesale, Coward","Whitmore, James","Morrison, John (I)","Bartlett, Craig","Suza, Neil","Thompson, Gary (IX)","McKean, Bruce","Griggs, Bob","Beencof, Stahu","Mot, Kessag","Edwards, Andrew (IX)","McKennon, Dal","Stone, Marley","Sopwith, Sally","Edelman, Carol","Mariana, Michele","Tonner, Kim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adventures of Ociee Nash, The (2003)","Propst, Jamey","Propst, William","Gebele, Nathan","McKnight, Geoff (I)","Daniels, Sean","Till, Lucas","Woodruff, Jody","Gunter, Michael (II)","Hogan, Dan (IV)","Kaplan, Aaron (V)","Key, Tom (I)","Braswell, Mitch","Rodriguez, Anthony P.","May, Daniel (II)","Lawes, George","Nuckols IV, Charles","Scordo, Dominick","Burns, Chris (VI)","Rivers, Kenya","Carter, Andrew (V)","Brandon, Eric (II)","Gibney, Terrence","Gillispie, Z.","Adams, George Howard","Butler, Bill (VI)","Thompson, Greg (III)","Burnley, Daniel","Carradine, Keith","Pennington, Ty","Lawhorn, John","Adams, Dale (II)","Day, Dalton","Hansard, Bart","Lewis, Brad (IV)","Ivey, Philip (I)","Propst, Loftin","McGary, Charles","Davis, Cynthia (V)","Perry, Jill","Sky, Jasmine (I)","Clements, Jill Jane","Propst, Milam McGraw","Akers, Janice","Bryant, Betty (II)","Rogers, Mary Welch","Cole, Della","McGary, Dolores","Kneeland, Katie","Morgan, Tiffany","Harris, Lesley (II)","Winningham, Mare","Reimer, Babs","Jolly, Cornelia","Propst, Abigail Kane","Robinson, Janet (II)","Ellis, Nicole","Day, Skyler","Denton, Rebecca (III)","Wright, Donna","Casey, Becky (II)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adventures of Pinocchio, The (1996)","Rhys Jones, Griff","Lovitt, Gorden","Koci, Pavel","Carrier, Corey","Celio, Teco","May, Brian (II)","Benaïche, Wilfred","Barron, Oliver","Proffer, Spencer","Shirley-Smith, Justin","Martin, Gary (I)","Swash, Joe","Bednar, Petr (I)","Magni, Marcello","Cook, Dean","Doyle, David (I)","Locke, Peter (I)","Dreyfus, Jean-Claude","Schneider, Rob","Court, Jake","Dorsey, Kevin","Lee, Robert (XIX)","Woodward, Sean (II)","Hadley, Jerry","Weclawek, Stefan","DeLeon, Luke","Sessions, John","Landau, Martin","Drouot, Jean-Claude","Beach, Jim (III)","Kvasnický, Jirí","Patocka, Jirí","Podhursky, Zdenek","Malandrone, Peter","Averlont, Erik","Koval, Vladimir","Thomas, Jonathan Taylor","Claxton, Richard","Orange, Thomas","Vydra, Václav (III)","Kier, Udo","Slovák, Jan","French, Dawn","Zagaria, Anita","DuBarry, Suzanne","Vasekova, Claudia","Bujold, Geneviève","Glover, Julie","Vlaskova, Lida","Neuwirth, Bebe","Tolkien, Daniela","Malkina, Liliya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altrimenti ci arrabbiamo (1974),"Capanna, Omero","Lizalde, José Luis","Pleasence, Donald","Ukmar, Franco","Cianfriglia, Giovanni","Albaicín, Rafael","Hill, Terence","Santa Cruz, José","Bastianoni, Giancarlo","Lerro, Rocco","Pevarello, Osiride","Mateos, Manuel (II)","Torrisi, Pietro","Laguna, Emilio","Panizo, José","Spencer, Bud","Sharp, John (I)","de Blas, Manuel","Barbero, Luis","Alessandri, Roberto","Verziera, Marcello","Yepes, José (I)","Julienne, Rémy","Huerta, Deogratias","Garrone, Riccardo","Maggio, Enzo","Morales, Inés","Pometti, Ada","Shepard, Patty (I)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazing Dobermans, The (1976)","Barty, Billy","Carter, Jack (II)","Almanzar, James","Pancake, Roger","Baer, Parley","Yerkes, Bob","Franciscus, James","Parton, Roy","Astaire, Fred","Reidy, Jamie (I)","Hawkes, William (II)","Brill, Charlie","Smoyer, Montana","Landman, Hanny","Eden, Barbara (I)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Grace (1974),"White, Slappy","Greene, Stanley (I)","Bolling, Gary","Richards, Jon (I)","Evans, Art","Miles, George","Fetchit, Stepin","Miles, George Lee","Gunn, Moses","Sweet, Dolph","Karen, James (I)","Mabley, Moms","Morgan, Debbi","Cash, Rosalind","McQueen, Butterfly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazing Mr. Blunden, The (1972)","Lodge, David (I)","Eddington, Paul","Lye, Reg","Lock, Stuart (I)","Chitty, Erik","Granger, Marc","Villiers, James","Miller, Garry","Crowden, Graham","Ward, Paddy","Naismith, Laurence","Delamain, Aimée","Frederick, Lynne","Landor, Rosalyn","Alison, Dorothy","Dors, Diana","Smith, Madeline (I)","Davies, Deddie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazing World of Psychic Phenomena, The (1976)","Serios, Ted","Krippner, Stanley","Hurkos, Peter","Mitchell, Edgar D.","Burr, Raymond","Geller, Uri","Eisenbud, Jules","Dixon, Jeane","Gray, Linda (I)","Grayson, Kathryn","Kulagina, Nina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
